Theme Id,Theme Name,Definition,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440002,Legal Document linked Barriers,"This theme includes responses where children are unable to enroll in school due to missing or incomplete legal documents such as Aadhaar cards, birth certificates, or identity proofs. It captures how lack of proper documentation creates administrative hurdles that keep children out of the education system.","No Aadhar card,no birth certificate,lack of Aadhar card,no ID,no legal document,enrollment barriers due to no Aadhar card",approved,279,16282 | To get Ravindra Kumar enrolled in school by obtaining his Aadhar card | 0.6535
,,,,,,28679 | To help Chandni Kumari get her Aadhar Card corrected so she can attend school | 0.6624
,,,,,,20737 | To improve education accessibility for girls by addressing transportation and Aadhaar card issues | 0.6928
,,,,,,28697 | To help Bharti Kumari attend school daily by correcting her parents' Aadhaar cards | 0.6967
,,,,,,29294 | To help people get their Aadhar cards made | 0.6561
,,,,,,28680 | To help Chandni get her Aadhar card corrected so she can attend school | 0.6649
,,,,,,8627 | To educate villagers about the importance of education and help them obtain Aadhaar cards for their children | 0.7508
,,,,,,"28545 | To correct the date of birth on a child's Aadhaar card, which was preventing them from receiving food and enrolling in school. | 0.7097"
,,,,,,28660 | To create awareness and facilitate the creation of Aadhar cards for children in the community | 0.787
,,,,,,"28661 | To improve access to education by creating Aadhaar cards for children, thereby simplifying the enrollment process and increasing participation in schools. | 0.7998"
,,,,,,"28550 | To address the issue of lack of birth certificates and Aadhar cards hindering school enrollment in Sirauli village, through Shiksha Chaupal and community engagement. | 0.6962"
,,,,,,28641 | To help children obtain Aadhaar cards and improve their access to education and other benefits | 0.8113
,,,,,,"28691 | To help teenage girls who have never attended school get enrolled and receive an education, by assisting them in obtaining necessary documents such as a date of birth and Aadhaar card | 0.7107"
,,,,,,28642 | To improve access to education by facilitating the creation of birth certificates and Aadhaar cards for children | 0.7703
,,,,,,15482 | To solve the problem of Aadhar card not being made | 0.7043
,,,,,,28558 | To correct the mistake in Krish Kumar's Aadhar card and ensure he can attend school | 0.6957
,,,,,,28667 | To increase enrollment by helping people obtain Aadhaar cards | 0.7178
