Theme Id,Theme Name,Definition,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440002,Legal Document linked Barriers,"This theme includes responses where children are unable to enroll in school due to missing or incomplete legal documents such as Aadhaar cards, birth certificates, or identity proofs. It captures how lack of proper documentation creates administrative hurdles that keep children out of the education system.","No Aadhar card,no birth certificate,lack of Aadhar card,no ID,no legal document,enrollment barriers due to no Aadhar card",approved,5,"41610 | To enroll children in school by obtaining Aadhar cards for them, addressing the issue of lack of admission due to missing Aadhar cards | 0.9042"
,,,,,,40691 | To enroll children in school by obtaining Aadhar cards through community efforts | 0.9211
,,,,,,41359 | To resolve the issue of children not being able to enroll in school due to lack of Aadhar Card | 0.9186
,,,,,,29010 | To resolve the issue of children not being enrolled in school due to Aadhaar card problems | 0.9011
,,,,,,28460 | To enroll children in school who were unable to do so due to lack of Aadhaar card | 0.9001
550e8400-e29b-41d4-a716-446655440006,School Infrastructure and Facility Issues,"This theme captures responses highlighting gaps in school facilities and infrastructure gaps. It includes issues such as inadequate classrooms, lack of basic amenities, insufficient learning resources, as well as delays, inconsistencies, or limited access to government schemes. Together, these systemic gaps reduce the attractiveness and effectiveness of schooling for children and families.","No clean water,toilets,mid day meal,scholarships,playgrounds,classrooms,pads,hygiene,books,uniforms,government schemes,sanitation,infrastructure,clean,cleanliness,no library,shortage of books,basic facilities",approved,1,18 | Increase storage space for library books | 1
550e8400-e29b-41d4-a716-446655440008,Safety Concerns,"This theme includes responses where children's school attendance is affected by worries related to their overall safety and security. It covers issues such as unsafe routes, harassment, or any situation that makes families feel that the environment around schooling is not secure enough for children to travel or attend regularly.","Harassment,molestation,eve-teasing,tease,violence,environment around house,house surroundings",approved,0,
550e8400-e29b-41d4-a716-446655440004,Distance and Accessibility Issues,"This theme captures challenges that prevent children from attending school due to physical and environmental conditions. It includes long distances to school, poor road or transport infrastructure, and difficulties caused by weather or seasonal factors (such as heavy rains, heat, or floods). These conditions make daily travel to school inconvenient, unreliable, or physically demanding for children.","school is far,distance of school,no bus,lack of transportation,no road,roads are bad,no school in village,rain,hot,heat,sun,has to walk a lot,long distances,no clean roads",approved,0,
550e8400-e29b-41d4-a716-446655440009,Substance Abuse and Addiction,"This theme captures responses where children's education is affected by alcohol or drug use within the family or community, as well as issues like gambling or addiction to online games. These problems create unstable home environments, distract children from studies, and contribute to irregular attendance or dropout.","Addiction,Addicted,Alcohol,Drugs,Alcoholism,online games,mobile phones,Gambling",approved,0,
550e8400-e29b-41d4-a716-446655440005,Parental Attitudes and Socio-Cultural Barriers,"This theme captures responses where parental beliefs, family mindsets, and cultural norms discourage girls from attending school. It includes attitudes such as prioritizing domestic roles for girls, believing education is unnecessary for them, concerns about dowry increasing with higher education, or long-standing traditions that limit girls' mobility and learning opportunities. These socio-cultural factors collectively shape decisions that keep girls out of school.","Discrimination,cultural beliefs,social pressure,not allowed,marriage,dowry,take care of siblings,girls do not need to study,girls run away,speak foul language",approved,0,
550e8400-e29b-41d4-a716-446655440001,Poverty and Economic Barriers,"This theme captures insights where families link irregular school attendance or dropouts to financial hardship. It includes responses describing how poverty forces children to prioritize work over education, how households depend on children's income for survival, and how limited resources—such as inability to afford uniforms, books, or transport—become barriers to schooling.","Poor,no money,lack of money,financial constraints,child labour,economic constraint,unemployment,financial difficulties",approved,0,
550e8400-e29b-41d4-a716-446655440003,Early Marriage,"This theme captures responses where child marriage or early marriage prevents girls from continuing their education. It includes situations where early marriage leads to school dropout, limits learning opportunities, or shifts responsibilities toward household duties instead of schooling.","Child marriage,marriage,early marriage",approved,0,
550e8400-e29b-41d4-a716-446655440007,Teacher Capacity and Quality Issues,"This theme covers responses highlighting challenges related to insufficient teachers or concerns about teaching quality. It includes issues such as vacant positions, irregular teacher attendance, overburdened staff, and gaps in subject knowledge or pedagogy. These factors affect the learning environment and reduce children's motivation to attend school regularly.","Shortage,quality issue,teacher not on time,dont pay attention,slow learning progress,academic progress,lack in academics,Lack of english education",approved,0,
9cf40a16-df67-49f1-9bd9-2a80c778e21d,Promoting Girls' Educational Attainment and Persistence,"This theme encompasses initiatives aimed at ensuring girls, particularly adolescents, access and complete secondary education (up to 12th standard). It includes strategies for overcoming financial barriers, parental persuasion, regular attendance, and facilitating exam completion, ultimately fostering a commitment to continued learning.","girls' education,secondary education,educational access,educational persistence,overcoming barriers,adolescent girls",Draft,364,28513 | To encourage Ritika to pursue further studies | 0.5694
,,,,,,28632 | To help Anita Kumari pursue further studies despite her poor financial condition | 0.6845
,,,,,,28517 | To educate girls till 12th standard | 0.6389
,,,,,,28655 | To improve education for teenage girls by encouraging them to complete their studies till class 12 | 0.6732
,,,,,,40510 | To educate Rinki Kumari till 12th standard | 0.7454
,,,,,,4282 | To educate girls at least till 12th standard and marry them after 18 years of age | 0.6532
,,,,,,4239 | To educate Renu Devi | 0.6499
,,,,,,28597 | To ensure Gudiya Kumari receives an education by convincing her parents of its importance | 0.8317
,,,,,,28522 | To educate Chanda Kumari further | 0.8284
,,,,,,28524 | To encourage Sandhya to attend school regularly by explaining the importance of education | 0.674
,,,,,,15374 | To bring Sita Kumari back to school by convincing her family and arranging a bicycle for her | 0.7382
,,,,,,28658 | To help Sweety Kumari take her exam and continue her education | 0.8422
,,,,,,2980 | To organize a successful Vidya Sabha in Chandra Kal Village despite the challenges | 0.4183
,,,,,,28639 | To encourage Kusum to continue her studies despite financial difficulties | 0.6122
,,,,,,28542 | To encourage Riya Kumari | 0.7343
,,,,,,28547 | To support Kamini Kumari in resuming her studies | 0.7598
,,,,,,15118 | To educate Rupa further | 0.5985
,,,,,,15491 | To help Khushi Kumari attend school regularly | 0.8442
,,,,,,28555 | To enroll Meenakshi in school after she dropped out | 0.6177
,,,,,,28644 | To encourage Rekha Kumari to continue her education after failing in matriculation | 0.7803
,,,,,,15179 | To encourage Rupa Kumari to continue her education and create awareness about education in her community | 0.8537
,,,,,,29237 | To educate Kavita and support her in her studies | 0.6881
,,,,,,15168 | To convince Pooja Kumari and her parents to continue her education | 0.8466
,,,,,,40563 | To educate Neha Kumari and empower her to shape her future | 0.8127
,,,,,,41568 | To educate Deepa Kumari | 0.7787
,,,,,,41561 | To help Savita Kumari continue her education | 0.8659
,,,,,,40573 | To educate Anshu Kumari and raise awareness about the importance of education in the community | 0.7419
,,,,,,40574 | To help Anushka get enrolled in Kasturba and ensure her education | 0.6659
,,,,,,40575 | To educate Rizwana Khatoon after her parents | 0.6296
,,,,,,40578 | To enroll Pratima Kumari in Kasturba Vidyalaya after her name was removed from school due to living outside | 0.7111
,,,,,,28561 | To encourage Rinku Kumari to continue her education | 0.8566
,,,,,,40581 | To enroll Kirti Kumari in school | 0.7932
,,,,,,41589 | To get Priya Kumari admitted to class 12 | 0.7074
,,,,,,40583 | To re-enroll Sameeksha Kumari in school and encourage her to continue her education | 0.8561
,,,,,,40584 | To help Renu Kumari get enrolled in school again and continue her education | 0.8885
,,,,,,40589 | To help Shivani Kumari continue her studies | 0.7967
,,,,,,40601 | To help Arvind Kumar get enrolled in school by making his mother aware that admission in government school is free | 0.747
,,,,,,40602 | To educate Preeti Kumari and make her self-dependent | 0.8286
,,,,,,40603 | To enroll Nandini Kumari in Kasturba Vidyalaya | 0.653
,,,,,,41627 | To get Devanti Devi's daughter-in-law admitted in Intermediate | 0.5517
,,,,,,40614 | To bring Suraj Kumar back to school and provide him with a proper education | 0.7502
,,,,,,40616 | To create awareness about education and enroll Diksha Kumari in school | 0.7644
,,,,,,40623 | To enroll Jhumki in school | 0.5268
,,,,,,15753 | To help a poor girl get education by admitting her to Kasturba school | 0.7276
,,,,,,28566 | To convince Chandrawati Kumari to continue her studies after her mother | 0.7491
,,,,,,41666 | To encourage Shabnam Parveen to continue her education | 0.554
,,,,,,41668 | To educate Razia Begum and help her parents understand the importance of education | 0.5835
,,,,,,41669 | To help Priyanshu Kumari understand the importance of education and get her enrolled in Kasturba Vidyalaya | 0.842
,,,,,,41673 | To improve education in Manjhi Tola by enrolling Nisha Kumari in Kasturba Vidyalaya and raising awareness about the importance of education | 0.7343
,,,,,,40656 | To educate Muskan Kumari and other girls in the community | 0.7444
,,,,,,4015 | Helping Kishori attend school regularly | 0.5807
,,,,,,14991 | To help Kajal continue her education | 0.7579
,,,,,,40695 | To empower Anjali through education and make her self-reliant | 0.6526
,,,,,,"40710 | To ensure that Nidhi Kumari receives her transfer certificate without paying any bribe, by educating her parents about the free transfer certificate policy and providing them with support and resources to navigate the situation. | 0.6449"
,,,,,,40711 | To enroll Radha Kumari in school and encourage other parents to do the same | 0.7818
,,,,,,40713 | To get Kamini Kumari enrolled in school and create an educational environment in her community | 0.8235
,,,,,,40717 | To improve education in Barharwa by enrolling girls in Kasturba Vidyalaya | 0.6256
,,,,,,28432 | To educate Chhoti Kumari further by informing her parents about government schemes and scholarships | 0.8255
,,,,,,40817 | To enroll Radha Kumari in Kasturba Vidyalaya | 0.6684
,,,,,,40819 | To enroll Chhoti Kumari in Kasturba Vidyalaya and encourage her to pursue her education | 0.7887
,,,,,,40822 | To help Reena Kumari and other children in the community attend school regularly and complete their education | 0.8042
,,,,,,40829 | To enroll Khushi Kumari in school | 0.8214
,,,,,,40831 | To educate Anjani Kumari and other girls in the village | 0.7727
,,,,,,40837 | To encourage Geetanjali to continue her studies | 0.6094
,,,,,,40839 | To encourage Shivani Kumari to continue her education and inspire other girls in the community to do the same | 0.8329
,,,,,,40856 | To educate Nisha Kumari who had dropped out of school due to economic situation | 0.8061
,,,,,,40859 | To enroll Amit Kumar in school and encourage him to study | 0.7302
,,,,,,40860 | To enroll Suman Kumari in school by creating awareness and obtaining necessary documents | 0.7926
,,,,,,40873 | To enroll Anjali Kumari in school | 0.775
,,,,,,40875 | To enroll Chintu Kumar in school | 0.724
,,,,,,40879 | To help Priyanka understand the importance of education and pursue her studies | 0.6832
,,,,,,40881 | To help Priyanka Kumari continue her education | 0.8699
,,,,,,40886 | To help Sangeeta Kumari return to her studies after a 3-year gap due to ill health | 0.6621
,,,,,,40902 | To enroll Diltorni Kumari in school | 0.7861
,,,,,,40903 | To help Lali Kumari continue her education after her mother's death. | 0.793
,,,,,,40907 | To educate Komal Kumari about the importance of education | 0.7994
,,,,,,28620 | To convince Khushboo Kumari to continue her education | 0.8566
,,,,,,40919 | To help Radha Kumari pass her supplementary exam | 0.7093
,,,,,,40920 | To educate Ramavati Kumari | 0.7938
,,,,,,40923 | To get Kajal Kumari enrolled in school and continue her education | 0.8496
,,,,,,40925 | To educate Anushka and other children in Naraina village | 0.528
,,,,,,40926 | To encourage Kajal Kumari to continue her education | 0.874
,,,,,,40931 | To motivate Riya Kumari to study further and help her pass her matriculation examination | 0.8142
,,,,,,40933 | To empower Kajal Kumari to continue her education despite poverty and failure in matriculation | 0.8091
,,,,,,40935 | To convince Khushboo Kumari and her mother to get her admitted and complete her further studies | 0.8138
,,,,,,40966 | To enroll Farida Khatoon in school despite initial resistance from the school administration | 0.4996
,,,,,,41009 | To educate Durga Kumari and her parents about the importance of education | 0.8203
,,,,,,28573 | To educate Mamta Kumari despite her father | 0.7901
,,,,,,41019 | To make Rohit Raj understand the importance of education and continue his studies | 0.6953
,,,,,,41023 | To motivate Ritesh to continue his studies and understand the importance of education | 0.6186
,,,,,,16284 | To educate Anita Kumari and improve her life | 0.8053
,,,,,,41045 | To educate Munna | 0.5179
,,,,,,15087 | To help Nikki Kumari understand the importance of education and attend school regularly | 0.8283
,,,,,,41077 | To enroll Vishal Kumar in school despite the lack of a transfer certificate | 0.6272
,,,,,,41085 | To solve the problem of admission in class 9 due to TC | 0.4303
,,,,,,41088 | Anjani wanted to go to school but the school was far away | 0.518
,,,,,,41111 | To enroll Riya Kumari in school by obtaining her birth certificate | 0.7729
,,,,,,41112 | To re-enroll dropout girls in Kasturba Vidyalaya and provide them with education | 0.6294
